divipola,municipio,departamento,codigo_departamento,subregion_pdet
27800,UNGUÍA,CHOCÓ,27,CHOCÓ
18029,ALBANIA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18094,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18150,CARTAGENA DEL CHAIRÁ,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18205,CURILLO,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18247,EL DONCELLO,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18256,EL PAUJIL,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18001,FLORENCIA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18410,LA MONTAÑITA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18460,MILÁN,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18479,MORELIA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18592,PUERTO RICO,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18610,SAN JOSÉ DEL FRAGUA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18753,SAN VICENTE DEL CAGUÁN,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18756,SOLANO,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18785,SOLITA,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
18860,VALPARAÍSO,CAQUETÁ,18,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
41020,ALGECIRAS,HUILA,41,CUENCA DEL CAGUÁN Y PIEDEMONTE CAQUETEÑO
95015,CALAMAR,GUAVIARE,95,MACARENA - GUAVIARE
95025,EL RETORNO,GUAVIARE,95,MACARENA - GUAVIARE
95200,MIRAFLORES,GUAVIARE,95,MACARENA - GUAVIARE
95001,SAN JOSÉ DEL GUAVIARE,GUAVIARE,95,MACARENA - GUAVIARE
50350,LA MACARENA,META,50,MACARENA - GUAVIARE
50325,MAPIRIPÁN,META,50,MACARENA - GUAVIARE
50330,MESETAS,META,50,MACARENA - GUAVIARE
50450,PUERTO CONCORDIA,META,50,MACARENA - GUAVIARE
50577,PUERTO LLERAS,META,50,MACARENA - GUAVIARE
50590,PUERTO RICO,META,50,MACARENA - GUAVIARE
50370,URIBE,META,50,MACARENA - GUAVIARE
50711,VISTA HERMOSA,META,50,MACARENA - GUAVIARE
13212,CÓRDOBA,BOLÍVAR,13,MONTES DE MARÍA
13244,EL CARMEN DE BOLÍVAR,BOLÍVAR,13,MONTES DE MARÍA
13248,EL GUAMO,BOLÍVAR,13,MONTES DE MARÍA
13442,MARÍA LA BAJA,BOLÍVAR,13,MONTES DE MARÍA
13654,SAN JACINTO,BOLÍVAR,13,MONTES DE MARÍA
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,13,MONTES DE MARÍA
13894,ZAMBRANO,BOLÍVAR,13,MONTES DE MARÍA
70230,CHALÁN,SUCRE,70,MONTES DE MARÍA
70204,COLOSO,SUCRE,70,MONTES DE MARÍA
70418,LOS PALMITOS,SUCRE,70,MONTES DE MARÍA
70473,MORROA,SUCRE,70,MONTES DE MARÍA
70508,OVEJAS,SUCRE,70,MONTES DE MARÍA
70523,SAN ANTONIO DE PALMITO,SUCRE,70,MONTES DE MARÍA
70713,SAN ONOFRE,SUCRE,70,MONTES DE MARÍA
70823,TOLÚ VIEJO,SUCRE,70,MONTES DE MARÍA
19318,GUAPI,CAUCA,19,PACÍFICO MEDIO
19418,LÓPEZ,CAUCA,19,PACÍFICO MEDIO
19809,TIMBIQUÍ,CAUCA,19,PACÍFICO MEDIO
76109,BUENAVENTURA,VALLE DEL CAUCA,76,PACÍFICO MEDIO
52079,BARBACOAS,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52250,EL CHARCO,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52520,FRANCISCO PIZARRO,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52390,LA TOLA,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52427,MAGÜI,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52473,MOSQUERA,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52490,OLAYA HERRERA,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52612,RICAURTE,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52621,ROBERTO PAYÁN,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52835,SAN ANDRES DE TUMACO,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
52696,SANTA BÁRBARA,NARIÑO,52,PACÍFICO Y FRONTERA NARIÑENSE
86573,LEGUÍZAMO,PUTUMAYO,86,PUTUMAYO
86001,MOCOA,PUTUMAYO,86,PUTUMAYO
86320,ORITO,PUTUMAYO,86,PUTUMAYO
86568,PUERTO ASÍS,PUTUMAYO,86,PUTUMAYO
86569,PUERTO CAICEDO,PUTUMAYO,86,PUTUMAYO
86571,PUERTO GUZMÁN,PUTUMAYO,86,PUTUMAYO
86757,SAN MIGUEL,PUTUMAYO,86,PUTUMAYO
86865,VALLE DEL GUAMUEZ,PUTUMAYO,86,PUTUMAYO
86885,VILLAGARZÓN,PUTUMAYO,86,PUTUMAYO
20013,AGUSTÍN CODAZZI,CESAR,20,SIERRA NEVADA - PERIJÁ
20045,BECERRIL,CESAR,20,SIERRA NEVADA - PERIJÁ
20400,LA JAGUA DE IBIRICO,CESAR,20,SIERRA NEVADA - PERIJÁ
20621,LA PAZ,CESAR,20,SIERRA NEVADA - PERIJÁ
20443,MANAURE BALCÓN DEL CESAR,CESAR,20,SIERRA NEVADA - PERIJÁ
20570,PUEBLO BELLO,CESAR,20,SIERRA NEVADA - PERIJÁ
20750,SAN DIEGO,CESAR,20,SIERRA NEVADA - PERIJÁ
20001,VALLEDUPAR,CESAR,20,SIERRA NEVADA - PERIJÁ
44090,DIBULLA,LA GUAJIRA,44,SIERRA NEVADA - PERIJÁ
44279,FONSECA,LA GUAJIRA,44,SIERRA NEVADA - PERIJÁ
44650,SAN JUAN DEL CESAR,LA GUAJIRA,44,SIERRA NEVADA - PERIJÁ
47053,ARACATACA,MAGDALENA,47,SIERRA NEVADA - PERIJÁ
47189,CIÉNAGA,MAGDALENA,47,SIERRA NEVADA - PERIJÁ
47288,FUNDACIÓN,MAGDALENA,47,SIERRA NEVADA - PERIJÁ
47001,SANTA MARTA,MAGDALENA,47,SIERRA NEVADA - PERIJÁ
05893,YONDÓ,ANTIOQUIA,05,SUR DE BOLÍVAR
13042,ARENAL,BOLÍVAR,13,SUR DE BOLÍVAR
13160,CANTAGALLO,BOLÍVAR,13,SUR DE BOLÍVAR
13473,MORALES,BOLÍVAR,13,SUR DE BOLÍVAR
13670,SAN PABLO,BOLÍVAR,13,SUR DE BOLÍVAR
13688,SANTA ROSA DEL SUR,BOLÍVAR,13,SUR DE BOLÍVAR
13744,SIMITÍ,BOLÍVAR,13,SUR DE BOLÍVAR
23466,MONTELÍBANO,CÓRDOBA,23,SUR DE CÓRDOBA
23580,PUERTO LIBERTADOR,CÓRDOBA,23,SUR DE CÓRDOBA
23682,SAN JOSE DE URE,CÓRDOBA,23,SUR DE CÓRDOBA
23807,TIERRALTA,CÓRDOBA,23,SUR DE CÓRDOBA
23855,VALENCIA,CÓRDOBA,23,SUR DE CÓRDOBA
73067,ATACO,TOLIMA,73,SUR DEL TOLIMA
73168,CHAPARRAL,TOLIMA,73,SUR DEL TOLIMA
73555,PLANADAS,TOLIMA,73,SUR DEL TOLIMA
73616,RIOBLANCO,TOLIMA,73,SUR DEL TOLIMA
05045,APARTADÓ,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05147,CAREPA,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05172,CHIGORODÓ,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05234,DABEIBA,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05480,MUTATÁ,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05490,NECOCLÍ,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05665,SAN PEDRO DE URABA,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
05837,TURBO,ANTIOQUIA,05,URABÁ ANTIOQUEÑO
